id,subcategory_id,name,image
57,14,Ailes de poulet BBQ froides 8 morceaux,
58,22,Ailes de poulet BBQ surgelé,
59,22,Ailes de poulet biologique,
60,22,Ailes de poulet buffalo surgelé,
61,22,Ailes de poulet cashère,
62,22,Ailes de poulet coupées fraîches,
63,22,Ailes de poulet douce et croustillante surgelé,
64,22,Ailes de poulet épicée surgelé,
65,22,Ailes de poulet format familial,
66,14,Ailes de poulet frites froides 6 morceaux,
67,14,Ailes de poulet froides 8 morceaux avec salade,
68,22,Ailes de poulet sel et poivre surgelé,
69,22,Ailes de poulet surgelé BBQ Kansas surgelé,
70,22,Ailes de poulet surgelé chimichurri surgelé,
71,22,Ailes de poulet surgelé pimentées surgelé,
72,22,Ailes poulet style Buffalo surgelé,
73,9,Aïoli au barbecue fumé,
74,9,Aïoli au citron et à la lime,
75,9,Aïoli au piment habanero et mangue,
76,9,Aioli sriracha,
77,20,alimentaires biologiques sans gluten Cavatelli art...,
78,20,alimentaires biologiques sans gluten fusilli,
79,20,Allongeur surgelé daiquiri aux fraises,
80,20,Allongeur surgelé margarita,
81,20,Allongeur surgelé piña colada,
82,16,Alphabet lègumes bio ,
83,12,Amande au chocolat,
84,5,Amande chocolat au lait,
85,12,Amande fumée,
86,12,Amande naturelle,
87,12,Amande RNS,
88,12,Amande tamari,
89,12,Amande Tranchée,
90,16,Amandes au tamari samadhi sans gluten biologique,
91,13,Amandes blanches entières,
92,12,Amandes brunes non-salées,
93,12,Amandes brunes salées,
94,12,Amandes crues,
95,16,Amandes crues sans gluten biologiques,
96,13,Amandes écalées,
97,13,Amandes effilées,
98,12,Amandes en bâtonnets,
99,12,Amandes en coquille,
100,12,Amandes fumées,
101,12,Amandes grillées et salées,
102,12,Amandes monterey naturelle sans gluten,
103,13,Amandes moulues,
104,12,Amandes nature crues,
105,12,Amandes naturelles,
106,12,Amandes pralinées à l'érable,
107,12,amandes rotie a sec salée,
108,12,Amandes rs,
109,16,Amandes salées nirvana sans gluten biologique,
110,12,amandes sec rotie non salée,
111,12,Amandes suprême,
112,12,Amandes tamari,
113,13,Amandes tranchées,
114,12,Amandes tranchées grillées,
115,13,Amandes tranchées naturelles,
116,12,Amandes tranchées rôties à l'ail,
117,12,Amandes tranchées rôties au miel,
118,12,Amandes week-end tamari,
119,16,Amandine au sirop d'érable sans gluten biologique,
120,16,Amarante biologique,
121,19,Ammoniaque tout-usage,
122,2,Amuse gueule Humpty,
123,12,Ananas,Ananas.jpg
124,12,Ananas bébé,Ananas bébé.jpg
125,12,Ananas biologique,Ananas.jpg
126,12,Ananas broyé dans son jus,Ananas broyé.jpg
127,12,Ananas broyé sans sucre ajouté,Ananas broyé.jpg
128,12,Ananas dans jus sans sucre ajouté,Ananas broyé.jpg
129,12,Ananas décortiquée,Ananas décortiquée.jpg
130,12,Ananas d'or,Ananas.jpg
131,12,Ananas en collation,Ananas en collation.jpg
132,12,Ananas en gros morceaux,Ananas en gros morceaux.jpg
133,12,Ananas en morceaux sans gluten,Ananas en gros morceaux.jpg
134,12,Ananas en morceaux séche,Ananas en morceaux séche.jpg
135,12,Ananas en petits morceaux,Ananas en gros morceaux.jpg
136,12,Ananas en petits morceaux dans jus sans sucre ajo...,Ananas en gros morceaux.jpg
137,12,Ananas en petits morceaux dans son jus,Ananas en gros morceaux.jpg
138,20,Ananas morceaux surgeler,Ananas en gros morceaux.jpg
139,12,Ananas séchée en morceaux,Ananas en morceaux séche.jpg
140,12,Ananas tranché,Ananas tranché.jpg
141,12,Ananas tranché dans son jus,Ananas tranché.jpg
142,12,Ananas tranchés dans jus sans sucre ajouté,Ananas tranché.jpg
143,12,Aneth ,
144,9,Aneth en feuilles,
145,16,Aneth en feuilles biologique,
146,9,Aneth en grains entiers,
147,9,Aneth en grains moulus,
148,9,Aneth en herbes biologique,
149,12,Aneth frais en bouquet,
150,12,Aneth lyophilisé,
151,9,Anis étoilé,
152,5,Anneau danois aux fraises,
153,5,Anneau danois aux pacanes,
154,5,Anneau danois aux pommes,
155,8,Antipasto aux artichauts marinés,
156,8,Antipasto aux champignons marinés,
157,8,Antipasto aux tomates séchées,
158,17,Antipasto de légumes ,
159,8,Antipasto feuille de vigne,
160,8,Antipasto misto,
161,8,Antipasto salade grecque,
162,8,Antipasto Trio ,
163,12,Aprium ,
164,12,Arachides cajun épicé,
165,12,Arachides confites,
166,12,Arachides croustillantes,
167,12,Arachides en écale,
168,12,Arachides fumée virginie,
169,13,Arachides hachées,
170,12,Arachides natures jumbo,
171,12,Arachides rond large crunch,
172,12,Arachides rôties en écales,
173,12,Arachides rôties non salées,
174,12,Arachides rôties salées,
175,12,Arachides salées jumbo,
176,12,Arachides sucrées,
177,12,Arilles ,
178,12,Aromate Basilic biologique,
179,21,Arôme liquide ,
180,12,Artichaut gros,
181,8,Artichauts marinés,
182,12,Asperges ,Asperges.jpg
183,12,Asperges biologiques,
184,12,Asperges coupées,
185,12,Asperges vertes marinées,
186,19,Assainiseur d'air recharge et chauffe huile frais ...,
187,9,Assaisonnement à bifteck de Montréal,
188,9,Assaisonnement à bifteck sans sel ajouté,
189,9,Assaisonnement à bloody césar,
190,9,Assaisonnement à couscous,
191,9,Assaisonnement à l'ail et aux fines herbes,
192,9,Assaisonnement à l'ail et herbes sans sel ajouté,
193,9,Assaisonnement à l'ail plus,
194,9,Assaisonnement à l'ail rôti et aux poivrons,
195,9,Assaisonnement à l'érable et bacon,
196,9,Assaisonnement à salade,
197,9,Assaisonnement à salade sans sel ajouté,
198,9,Assaisonnement à volaille,
199,17,Assaisonnement adobo avec poivre,
200,9,Assaisonnement au citron et fines herbes,
201,12,Assaisonnement au citron sans sel,
202,9,Assaisonnement au gingembre et ail,
203,9,Assaisonnement au parmesan et herbes,
204,9,Assaisonnement aux fines herbes,
205,9,Assaisonnement aux herbes et poivre sans sel ajout...,
206,17,Assaisonnement avec cumin,
207,9,Assaisonnement avec safran,
208,21,Assaisonnement barbecue pour porc effiloché,
209,9,Assaisonnement bifteck jerky à la jamaïcaine,
210,12,Assaisonnement bruschetta,
211,9,Assaisonnement cajun,
212,12,Assaisonnement classique,
213,9,Assaisonnement d'ail émincé,
214,9,Assaisonnement de poivre et citron,
215,9,Assaisonnement de poivre pimenté,
216,17,Assaisonnement doux pour tacos,
217,9,Assaisonnement édition spéciale,
218,16,Assaisonnement épicé biologique sans gluten,
219,9,Assaisonnement épices à bifteck de Montréal,
220,9,Assaisonnement exotique,
221,9,Assaisonnement fumé au bois de pommier,
222,9,Assaisonnement grec,
223,12,Assaisonnement grecque,
224,9,Assaisonnement italiano,
225,9,Assaisonnement italien,
226,16,Assaisonnement italien biologique,
227,16,Assaisonnement italien moulu biologique,
228,12,Assaisonnement jardinière,
229,9,Assaisonnement le brasseur,
230,21,Assaisonnement liquide à saveur de fumée,
231,12,Assaisonnement lousianne,
232,9,Assaisonnement méditerranéen pour poissons et frui...,
233,21,Assaisonnement mélange à l'ail,
234,9,Assaisonnement mélange de 4 poivres,
235,21,Assaisonnement mélange de fines herbes,
236,9,Assaisonnement mélange de poivres épicés,
237,9,Assaisonnement mélange de table sans sel ajouté,
238,9,Assaisonnement mélange original sans sel,
239,9,Assaisonnement mélange pour bifteck,
240,21,Assaisonnement mélange pour ragoût de boeuf,
241,21,Assaisonnement mélange pour ragoût de poulet,
242,21,Assaisonnement mélange pour riz frit,
243,17,Assaisonnement Mirin,
244,12,Assaisonnement naturel,
245,16,Assaisonnement original sans gluten biologique,
246,9,Assaisonnement original sans sel,
247,12,Assaisonnement patate cheddar piquant,
248,12,assaisonnement patates a déjeuner,
249,12,Assaisonnement patates garnies,
250,22,Assaisonnement piri piri,
251,9,Assaisonnement pour barbecue doré,
252,21,Assaisonnement pour bifteck de Montréal,
253,9,Assaisonnement pour boisson césar,
254,9,Assaisonnement pour bruschetta,
255,9,Assaisonnement pour burger à l'oignon de la grilla...,
256,17,Assaisonnement pour burritos,
257,17,Assaisonnement pour chili,
258,9,Assaisonnement pour escargots,
259,17,Assaisonnement pour fajitas,
260,12,Assaisonnement pour frites,
261,9,Assaisonnement pour garnir des verres,
262,12,Assaisonnement pour grillade,
263,9,Assaisonnement pour le porc,
264,9,Assaisonnement pour légumes,
265,9,Assaisonnement pour légumes sans sel ajouté,
266,21,Assaisonnement pour légumes thaï,
267,9,Assaisonnement pour les volailles,
268,21,Assaisonnement pour pain de viande,
269,9,Assaisonnement pour poisson,
270,16,Assaisonnement pour poisson moulu biologique,
271,9,Assaisonnement pour poisson sans sel ajouté,
272,9,Assaisonnement pour poissons et fruits de mer,
273,9,Assaisonnement pour pomme de terre Grecque,
274,9,Assaisonnement pour pommes de terre avec bacon et ...,
275,21,Assaisonnement pour pommes de terre rôties,
276,12,Assaisonnement pour pommes de terres rissolées,
277,9,Assaisonnement pour popcorn au cheddar blanc,
278,9,Assaisonnement pour popcorn au ketchup,
279,9,Assaisonnement pour porc,
280,21,Assaisonnement pour porc effiloché,
281,21,Assaisonnement pour poulet à l'érable à préparatio...,
282,9,Assaisonnement pour poulet barbecue,
283,9,Assaisonnement pour poulet barbecue sans sel,
284,9,Assaisonnement pour poulet de Montréal,
285,9,Assaisonnement pour poulet sans sel ajouté,
286,9,Assaisonnement pour riz aux fines herbes,
287,9,Assaisonnement pour riz oriental,
288,9,Assaisonnement pour riz pilaf,
289,21,Assaisonnement pour rôti,
290,21,Assaisonnement pour rôtisserie,
291,16,Assaisonnement pour salade moulu biologique sans s...,
292,7,Assaisonnement pour sauce à lasagne à la viande,
293,7,Assaisonnement pour sauce à spaghetti à la viande ...,
294,7,Assaisonnement pour sauce à spaghetti aux tomates ...,
295,7,Assaisonnement pour sauce arrabbiata,
296,7,Assaisonnement pour sauce rosée,
297,9,Assaisonnement pour saumon sans sel,
298,21,Assaisonnement pour sloppy joe,
299,17,Assaisonnement pour tacos,
300,17,Assaisonnement pour tacos 40% moins de sel,
301,17,Assaisonnement pour tacos piquant,
302,16,Assaisonnement pour volaille moulu biologique,
303,12,Assaisonnement ranch classique,
304,7,Assaisonnement régulier pour sauce à spaghetti,
305,9,Assaisonnement sans sel,
306,17,Assaisonnement sazon coriandre,
307,9,Assaisonnement Sriracha,
308,9,Assaisonnement Steak Firehouse,
309,9,Assaisonnement style sud barbecue,
310,12,Assaisonnement suprême,
311,9,Assaisonnement tex-mex,
312,16,Assaisonnement thaï biologique sans gluten,
313,9,Assaisonnement très épicé,
314,19,Assiettes 10.38 pouces,
315,19,Assiettes 8.75 pouces,
316,19,Assiettes assorties 10 pouces,
317,19,Assiettes blanches 7 pouces,
318,19,Assiettes bleu royal 7pces,
319,19,Assiettes bleu royal 9 pces,
320,19,Assiettes carrées 9.5 pouces,
321,19,Assiettes carrées modernes 6.5 pouces 8 paquets,
322,19,Assiettes carrées modernes 9.5 pouces 8 paquets,
323,19,Assiettes de dégustation 20 paquet,
324,19,Assiettes en mousse 10po,
325,19,Assiettes en papier 8.75 pouces,
326,19,Assiettes en plastique 9 pouces,
327,19,Assiettes en polystyrène 9 pouces,
328,19,Assiettes en styromousse 9 pouces,
329,19,Assiettes jaunes 7 pouces 24 unités,
330,19,Assiettes jaunes 9 pouces 24 unités,
331,19,Assiettes kiwi 7 pouces 24 unites,
332,19,Assiettes kiwi 9 pouces 24 unites,
333,19,Assiettes rondes en argent 10.75 po,
334,19,Assiettes rondes en argent 7.5 po,
335,19,Assiettes rouges 7 pouces 24 unités,
336,19,Assiettes rouges 9 pouces 24 unités,
337,19,Assiettes vanille 7 pouces 24 unités,
338,19,Assiettes vanille 9 pouces 24 unités,
339,19,Assouplissant arôme relaxe 100BR,
340,19,Assouplissant arôme relaxe 48BR,
341,16,Assouplissant liquide ,
342,19,Assouplissant textile fraîcheur de bouquet printan...,
343,19,Assouplisseur air frais 100BR,
344,19,Assouplisseur air frais 48BR,
345,19,Assouplisseur arôme calme,
346,19,Assouplisseur de tissus concentré 2X parfum douceu...,
347,19,Assouplisseur de tissus en feuilles aroma therapy ...,
348,19,Assouplisseur de tissus en feuilles fraîcheur de p...,
349,19,Assouplisseur de tissus en feuilles Inspira,
350,19,Assouplisseur de tissus en feuilles parfum d'air f...,
351,19,Assouplisseur de tissus en feuilles parfum de bris...,
352,19,Assouplisseur de tissus en feuilles parfum de less...,
353,19,Assouplisseur de tissus en feuilles passion de fle...,
354,19,Assouplisseur de tissus en feuilles peau sensible,
355,19,Assouplisseur de tissus en feuilles Tonique,
356,19,Assouplisseur de tissus en feuilles Tranquilia,
357,19,Assouplisseur de tissus exaltante à l'iris bleu et...,
358,19,Assouplisseur de tissus exaltation à l'orchidée sa...,
359,19,Assouplisseur de tissus liquide Azura 50 brassées,
360,19,Assouplisseur de tissus liquide ensoleillé 50 bras...,
361,19,Assouplisseur de tissus liquide fraîcheur d'avril ...,
362,19,Assouplisseur de tissus liquide fraîcheur printani...,
363,19,Assouplisseur de tissus liquide Inspira 50 brassée...,
364,19,Assouplisseur de tissus liquide Inspira 90 brassée...,
365,19,Assouplisseur de tissus liquide parfumé 24 brassée...,
366,19,Assouplisseur de tissus liquide super frais 50 bra...,
367,19,Assouplisseur de tissus liquide Tonique 50 brassée...,
368,19,Assouplisseur de tissus liquide Tranquilia 50 bras...,
369,19,Assouplisseur de tissus liquide Tranquilia 90 bras...,
370,19,Assouplisseur de tissus original 40 brassées,
371,19,Assouplisseur de tissus une douce fraîcheur,
372,19,Assouplisseur en feuille douceur d'été 80 feuilles,
373,19,Assouplisseur en feuille vanille traquille 80 feui...,
374,19,Assouplisseur en feuilles brise botanique,
375,19,Assouplisseur en feuilles printemps renouveau avec...,
376,19,Assouplisseur hypoallergène,
377,19,Assouplisseur Infusion à la lavande en feuilles,
378,19,Assouplisseur lessive liquide lavande,
379,19,Assouplisseur liquide 2X ultra frais forêt,
380,19,Assouplisseur liquide à la lavande 48 brassées,
381,19,Assouplisseur liquide arôme calme,
382,19,Assouplisseur liquide bruine botanique,
383,19,Assouplisseur liquide ultra non parfumé 2X,
384,19,Assouplisseur liquide Unstoppables frais 30 brassé...,
385,19,Assouplisseur liquide vanille 48 brassées,
386,19,Assouplisseur nature 60 brassées,
387,12,Aubergine ,
388,12,Aubergine biologique,
389,12,Aubergine chinoise,
390,12,Aubergine graffiti,
391,17,Aubergine grillée en purée,
392,12,Aubergine italienne,
393,17,Aubergines avec légumes,
394,9,Aubergines grillées,
395,9,Aubergines marinées,
396,12,Aubergines paquet de 2,
397,12,Avelines ,
398,12,Avocat,
399,12,Avocat biologique,
400,12,Avocat caisse,
401,12,Avocat hass,Avocat hass.jpg
402,12,Avocat hass biologique,Avocat hass.jpg
403,12,Avocat hass équitable et biologique,Avocat hass.jpg
404,8,Baba gannouj ,
405,19,Bac à compost trousse de départ,
406,15,Bac à litière trousse de départ,
407,8,Bacon ,
408,22,Bacon 33% moins de sel,
409,22,Bacon à l'érable,
410,22,Bacon au sel de mer et fumée de pommier,
411,22,Bacon biologique,
412,22,Bacon Ffumé sucré,
413,22,Bacon forêt noire tranché épais,
414,22,Bacon fumé naturellement,
415,22,Bacon moins de sel,
416,22,Bacon naturel,
417,22,Bacon original,
418,22,Bacon pomme whisky,
419,22,Bacon porc,
420,22,Bacon poulet au naturel,
421,22,Bacon précuit,
422,22,Bacon précuit à l'érable,
423,22,Bacon précuit en morceaux,
424,22,Bacon précuit moins de sel tranché,
425,22,Bacon précuit naturel,
426,22,Bacon précuit tranché épais,
427,22,Bacon précuittranché,
428,22,Bacon Ready Crisp précuit,
429,22,Bacon Ready Crisp précuit 50% moins de sel,
430,22,Bacon Ready Crisp précuit en morceaux croustillant...,
431,22,Bacon régulier,
432,22,Bacon rond,
433,22,Bacon selection naturelle,
434,22,Bacon tranché,
435,12,Bacon vrai en brisures,
436,12,Bacon vrai en morceaux,
437,5,Bagel bretzel,
438,5,Bagel canneberge orange,
439,5,Bagel double chocolat,
440,5,Bagel érable bacon,
441,5,Bagels à la cannelle et raisins,
442,5,Bagels au blé et miel,
443,5,Bagels au fromage,
444,5,Bagels au pavot,
445,5,Bagels au sésame,
446,5,Bagels aux brisures de chocolat,
447,5,Bagels aux graines de lin,
448,5,Bagels aux graines de sésame,
449,5,Bagels muesli,
450,5,Bagels multigrain,
451,5,Bagels nature,
452,5,Bagels tout garni,
453,5,Bagelwich aux graines de sésames,
454,5,Bagelwich mini sésame,
455,5,Bagelwich style montréal,
456,5,Baguettine dattes,
457,16,Baie de goji sans gluten biologique,
458,9,Baies de genièvre ,
459,22,Bajou de porc avec couenne,
460,5,Baklava Amandes et chocolat,
461,5,Baklava aux noix emballage de 16,
462,5,Baklava classique,
463,15,Balle de tennis,
464,15,Balle tintement,
465,9,Balsamique blanc,
466,18,Baluchon biologique,
467,12,Banane,Banane.jpg
468,12,Banane ,Banane.jpg
469,12,Banane équitable et biologique,
470,12,Banane plantain ,
471,12,Banane rouge,
472,12,Banane sèche,
473,12,Banane verte biologique,
474,12,Bananes miniatures,
475,12,Bananes sèchées,
476,12,Bananes séchées ,
477,9,Bandes won ton authentiques,
478,12,Bandes wonton authentiques,
479,12,Barbe à papa ,
480,16,Barre au suc de réglisse,
481,16,Barre aux fruits noix açaï et chocolat noir,
482,16,Barre aux fruits noix cerises et grenades,
483,5,Barre canneberge citron,
484,14,Barre chocolat canneberge,
485,5,Barre chocolat et banane,
486,5,Barre chocolat noisette,
487,20,Barre creme glace Caramel,
488,20,Barre crème glacé double chocolat vanille,
489,20,barre creme glacée double chocolat mini,
490,20,Barre crème glacée framboise,
491,20,Barre crème noix de coco,
492,16,Barre de chocolat au beurre d'arachide sans gluten...,
493,16,Barre de chocolat au brownie,
494,16,Barre de chocolat aux amandes et sel de mer sans g...,
495,16,Barre de chocolat aux cerises et amandes sans glut...,
496,14,Barre de chocolat Caramilk portion,
497,14,Barre de chocolat Dairy milk portion,
498,2,Barre de chocolat duo noir et au lait,
499,2,Barre de chocolat emballage de 4,
500,2,Barre de chocolat en 3 morceaux,
501,2,Barre de chocolat en bouchées dans un sac,
502,2,Barre de chocolat en bulles au lait emballage de 4,
503,2,Barre de chocolat en format individuel,
504,2,Barre de chocolat en grand format,
505,2,Barre de chocolat extra noir avec 70 % cacao,
506,2,Barre de chocolat format familial,
507,2,Barre de chocolat format géant,
508,2,Barre de chocolat format individuel,
509,2,Barre de chocolat Gâteau Lava,
510,2,Barre de chocolat grand format,
511,2,Barre de chocolat intense 75 % cacao,
512,2,Barre de chocolat Kit Kat boîte de 30,
513,2,Barre de chocolat La Caramelle,
514,2,Barre de chocolat La Noire,
515,2,Barre de chocolat La sans sucre,
516,2,Barre de chocolat Mars en format individuel,
517,2,Barre de chocolat Mars en grand format,
518,2,Barre de chocolat mi amer,
519,2,Barre de chocolat mini,
520,2,Barre de chocolat Mr.Big mini,
521,2,Barre de chocolat noir,
522,2,Barre de chocolat noir 60 % cacao à l'orange biolo...,
523,16,Barre de chocolat noir 60% à la noix de coco biolo...,
524,16,Barre de chocolat noir 60% avec éclats de frambois...,
525,2,Barre de chocolat noir 70 % de cacao,
526,16,Barre de chocolat noir 72% biologique,
527,2,Barre de chocolat noir 85 % cacao,
528,2,Barre de chocolat noir à 66% de cacao,
529,2,Barre de chocolat noir Abinao avec 85 % cacao,
530,2,Barre de chocolat noir au gingembre,
531,2,Barre de chocolat noir au poivre rose,
532,2,Barre de chocolat noir aux amandes grillées,
533,2,Barre de chocolat noir aux canneberges,
534,2,Barre de chocolat noir aux éclats de fèves de caca...,
535,2,Barre de chocolat noir aux poires et amandes,
536,2,Barre de chocolat noir avec 88 % cacao,
537,2,Barre de chocolat noir des Caraïbes avec 66 % cac...,
538,2,Barre de chocolat noir édition spéciale,
539,2,Barre de chocolat noir Guanaja 70 % cacao,
540,2,Barre de chocolat or,
541,2,Barre de chocolat régulière,
542,2,Barre de chocolat scaero halloween,
543,2,Barre de chocolat truffe,
544,2,Barre de chocolat truffe à la vanille,
545,20,Barre de creme glacé vanille enrobées de chocolat,
546,20,Barre de crème glacée ,
547,20,Barre de crème glacée double beurre d'arachide,
548,20,Barre de crème glacée double chocolat,
549,2,Barre de croustade au bleuet,
550,2,Barre de croustade aux fraises,
551,2,Barre de noix rôtis aux arachides croquantes,
552,2,Barre de toffee crémeux,
553,16,barre d'energie brisures de chocolat,
554,16,barre d'energie creme de coco,
555,16,Barre énergétique au chocolat blanc et cerises,
556,16,Barre énergétique aux arachides et caramel au sel ...,
557,12,Barre énergique Okanagan chocolat et noix de coco,
558,12,Barre énergique Okanagan framboise chocolat,
559,2,Barre énergisante au chocolat,
560,16,Barre fruit noix canneberge mûre,
561,20,barre fruits ananas,
562,12,Barre FruitSource baies sauvages,
563,12,Barre FruitSource bleuet grenade,
564,12,Barre FruitSource cerises,
565,12,Barre FruitSource fraises,
566,12,Barre FruitSource mangues mangosteen,
567,12,Barre FruitSource poire pêches,
568,20,Barre fudge,
569,20,Barre glacee Banane,
570,20,Barre glacée beurre arachide choclat,
571,20,"Barre glacée orange, cerise et raisin",
572,12,Barre grain entier Fruit Activ pomme et cannelle,
573,12,Barre grain entier Fruit Activ tornade de mangue,
574,16,Barre granola avoine miel noix de coco,
575,16,Barre granola beurre arachide chocolat noir,
576,16,Barre granola graines de citrouille érable sel de ...,
577,16,Barre granola morceaux choc noir,
578,20,Barre kéfir fraise biologique,
579,20,Barre kéfir mangue biologique,
580,2,Barre MuffinMax à l'érable et noix,
581,2,Barre MuffinMax au choco-bananes,
582,2,Barre MuffinMax aux brownies,
583,2,Barre MuffinMax aux carottes,
584,2,Barre MuffinMax aux morceaux de chocolat noir 70%,
585,2,Barre MuffinMax aux pommes et cassonade,
586,2,Barre MuffinMax Récolte de fruits,
587,12,Barre naturelle canneberge,
588,12,Barre naturelle mélange du randonneur,
589,2,"Barre Nutri-grains fruit, noix et bleuet",
590,2,"Barre Nutri-grains fruit, noix, cerise et amande",
591,2,Barre protéinée au chocolat,
592,2,Barre protéinée double chocolat,
593,14,Barre quinoa abricot ananas,
594,2,Barre Ragusa au chocolat au lait avec noisettes,
595,2,Barre Rice Crispy au chocolat au lait M&M,
596,2,Barre tendre choco max,
597,16,Barre tendre tournesol croquante,
598,2,Barre Vital à la noix de coco,
599,2,Barre Vital au beurre d'arachide,
600,2,Barre Vital aux fruits rouges,
601,2,Barre Vital aux noix de cajou et chocolat,
602,2,Barre Vital boîte à lunch - chocolat et bananes,
603,2,Barre Vital boîte à lunch - duo de chocolat,
604,2,Barre Vital boîte à lunch - pommes et carottes,
605,20,Barres à la crème glacée Original Fudge,
606,16,Barres à la noix de coco et brisures de chocolat,
607,16,Barres à l'avoine à la framboise et betterave 12m+,
608,16,Barres au biscuit d'avoine biologique pour enfants,
609,2,Barres au brownie,
610,16,Barres au brownie biologique pour enfants,
611,16,Barres au chocolat blanc et noix de macadamia,
612,16,Barres au chocolat et à la menthe,
613,12,Barres au chocolat et arachides sans gluten,
614,2,Barres au chocolat et caramel,
615,2,Barres au granola à la pâte à biscuits,
616,2,Barres au nougat caramel et chocolat,
617,2,Barres au sundae aux fraises,
618,12,Barres aux abricots et arachides,
619,2,Barres aux bleuets,
620,16,Barres aux brisures de chocolat biologique pour en...,
621,2,Barres aux fraises,
622,2,Barres aux framboises,
623,2,Barres aux fruits des champs,
624,2,Barres aux grains miel et avoine,
625,16,Barres aux noix chocolat miel et beurre d'arachide,
626,16,Barres aux noix- mélange des montagnes,
627,16,Barres aux noix miel et mélange de fruits,
628,16,Barres aux noix miel fruits et grains,
629,16,Barres aux noix sucrées salées,
630,2,Barres aux pommes et à la cannelle,
631,2,Barres aux pommes et au caramel,
632,16,Barres aux raisins secs et noix,
633,16,Barres biologiques à la framboise et vanille,
634,16,Barres biologiques aux noix de cajou et noix de co...,
635,16,Barres biologiques triple chocolat,
636,14,Barres bleuts,
637,14,Barres canneberges dattes,
638,5,Barres chocolat et guimauve,
639,14,Barres chocolat noir et noix,
640,2,Barres collation au quinoa avoine croquant et miel,
641,2,Barres collation au quinoa et pépites de chocolat,
642,20,Barres crème glacée Miniatures chocolat noir,
643,2,Barres croquantes à la cassonade,
644,2,Barres croquantes au chocolat,
645,2,Barres croquantes au chocolat et caramel,
646,2,Barres croquantes aux biscuits et crème,
647,2,Barres croquantes aux bleuets,
648,2,Barres croquantes aux fraises,
649,2,Barres de céréales aux fraises,
650,2,Barres de céréales aux framboises,
651,2,Barres de céréales aux pommes et à la cannelle,
652,2,Barres de céréales croquantes chocolatées,
653,2,Barres de céréales grec mélange de noix,
654,2,Barres de chocolat au lait et caramel tendre embal...,
655,2,Barres de chocolat au lait festives,
656,16,Barres de chocolat au lait friandises croustillant...,
657,2,Barres de chocolat au lait ultra moelleux emballag...,
658,2,Barres de chocolat blanc,
659,2,Barres de chocolat en format individuel,
660,2,Barres de chocolat noir,
661,16,Barres de chocolat noir friandises sans gluten emb...,
662,2,Barres de chocolat original emballage de 4,
663,2,Barres de chocolat Toblerone au lait de Pâques,
664,20,Barres de crème glacée ,
665,20,Barres de crème glacée à la vanille et amandes,
666,20,Barres de crème glacée à la vanille et chocolat au...,
667,20,Barres de crème glacée à la vanille et chocolat no...,
668,20,Barres de crème glacée à la vanille et lait,
669,20,Barres de crème glacée au caramel et pacanes prali...,
670,20,Barres de crème glacée au caramel salé,
671,20,Barres de crème glacée au chocolat,
672,20,Barres de crème glacée au fudge,
673,20,Barres de crème glacée au moka amandes et fudge,
674,20,Barres de crème glacée aux amandes,
675,20,Barres de crème glacée classique,
676,20,Barres de crème glacée croustillant au caramel et ...,
677,20,Barres de crème glacée enrobées de chocolat sans a...,
678,20,Barres de crème glacée Gold ,
679,20,Barres de crème glacée Les Miniatures à la vanille...,
680,20,Barres de crème glacée super frosty,
681,20,Barres de crème glacée trempées,
